"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,6.93702034667874,7.728962613,9.351594817,9.87829752030335,9.96477173282422,8.19062951873659,0.000552478226390294,-1.69183305688117,1,0,0,0.111718253262482,0.111246196928854,0.0738021662791153,0.0809784253730955,0.0535541723432105,0.005216249,0.098533752,0.293564683,0.304599847,0.074105561,0.284547346,3.306124146,0,0,0,0
2,12.3107712014406,7.719561348,9.409990029,9.26684617643203,9.31911332353454,7.2836027266363,0.000568202073245332,-1.6842018543762,1,0,0,0.109023688615234,0.110417291382037,0.066438775852971,0.0731560747129773,0.0501290959702713,0.007837671,0.143470292,0.344668454,0.445246916,0.138881617,0.42813289,2.790408211,0,0,0,0
3,22.4414910736109,7.429188073,9.308991029,9.09114189521166,9.10546314435102,7.50233980160112,0.000498520203852374,-1.84860770159325,1,0,0,0.107002299108321,0.106338729935612,0.0624336067217936,0.068633567622195,0.0462683649284435,0.002235005,0.083162995,0.286843353,0.308715081,0.075980507,0.274971257,2.563124776,0,0,0,0
4,33.3103872944863,6.886644364,9.204115755,9.41287124518201,9.25824170043218,8.65298655992739,0.000393095978016396,-2.04168368758483,0.884163508,0,0,0.0878216343026707,0.0868818378679028,0.0606804408945191,0.0657095148121713,0.0375304023706132,0.00278969,0.091134946,0.297680145,0.331806624,0.07672352,0.292870468,2.071527907,0,0,0,0
5,42.7943400928893,6.879884931,8.875375644,10.537906069783,9.63929923915895,10.6960059105016,0.000292844571943281,-2.54670479439995,0.607671289,0,0,0.0823741749108633,0.0816235625387097,0.0555468399345374,0.0602049308855843,0.0347618727690819,0.004711779,0.094910497,0.290488292,0.306757995,0.071277761,0.295702245,1.885044046,0,0,0,0
6,47.8454233402676,6.737943191,8.705105678,12.7286507915258,10.0291932074652,13.6379147392305,0.000222771472224942,-3.25771898298693,0.446021763,0,0,0.0793676469811324,0.0849511333855593,0.0484981776548145,0.0529130694256549,0.0329469535138083,0.002239917,0.084553449,0.281588432,0.276102045,0.061037162,0.276566876,1.511851032,0,0,0,0
7,44.7744586649736,6.378867416,8.79971156,14.9082646008765,10.3760081129656,16.2762836714382,0.00017206062585833,-3.59973247743766,0.411451011,0,0,0.0760794401349311,0.0859336888243261,0.0453701447551345,0.0496722803903307,0.0321054898149718,0.002813224,0.07780049,0.265004426,0.298498738,0.067281772,0.277904309,1.505067499,0,0,0,0
8,37.1911789993286,6.318674793,8.81616433,16.25851448182,10.7530838251612,17.6248685527385,0.000174446929153353,-3.49591021743512,0.476442673,0,0,0.0751825083994944,0.0871526573825985,0.046468620884517,0.0511780637702766,0.0351450961624598,0.001986794,0.076396628,0.271803049,0.306983277,0.072240265,0.276883161,1.611241931,0,0,0,0
9,26.2160973944112,6.371221094,8.916883839,15.8118820229088,11.0628195658577,16.6341628692641,0.000187373509598726,-2.89567748314512,0.639261454,0,0,0.0968114437279794,0.111583623591122,0.0641763672386693,0.0710148779996404,0.0510336623953813,0.005587776,0.104770991,0.310136513,0.344187478,0.087935106,0.31968123,2.113564167,0,0,0,0
10,15.2365954177288,6.438145179,8.966530737,14.4475682979085,11.4164691935521,14.6126966670051,0.000208255661078202,-2.31821498327071,0.922987598,0,0,0.0991765991267262,0.0975003523125047,0.0578516827532602,0.0699765582878742,0.0470011159852191,0.006933549,0.101448758,0.300786186,0.338287409,0.085928381,0.299492568,2.309724068,0,0,0,0
11,8.00287789652205,6.721663563,9.151220612,12.364295360132,11.3419165339165,11.8882354613805,0.000333462567234962,-1.9349187137913,1,0,0,0.105333351553977,0.115291500763057,0.0615651099270897,0.0679304272288553,0.047502367923698,0.008056161,0.119043914,0.316055049,0.342163398,0.087394471,0.326222597,2.862218333,0,0,0,0
12,5.02975560848904,7.35092367,9.266292968,10.8079862653694,10.7664378724699,9.70706679263271,0.000452287395941311,-1.67255062110187,1,0,0,0.109808233318184,0.113599303753591,0.0758102789545308,0.0831974854413446,0.0551284066180876,0.009033569,0.138671086,0.335815138,0.354703304,0.107539811,0.344904245,3.191206141,0,0,0,0
