"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,5.97243188218326,7.728962613,9.351594817,10.1934327071334,10.2396723814095,8.34856365129194,0.000522642614012068,-1.7123824191457,1,0,0,0.114527071971275,0.129762702654925,0.0468747279150754,0.0715350682469915,0.0540838228757512,0.005216249,0.098533752,0.293564683,0.304599847,0.074105561,0.284547346,3.306124146,0,0,0,0
2,11.2626703222429,7.719561348,9.409990029,9.6638173943128,9.68796908283383,7.60582418760125,0.000523634977403133,-1.80454386962,1,0,0,0.0795103337944306,0.0812091695494517,0.0390765682843171,0.0438956774753872,0.035963501425971,0.007837671,0.143470292,0.344668454,0.445246916,0.138881617,0.42813289,2.790408211,0,0,0,0
3,19.5740708550695,7.429188073,9.308991029,9.5720424924297,9.57104227473174,7.88385498865018,0.000493487182565971,-1.91761638255961,1,0,0,0.107919417782247,0.116189174257456,0.0578164379554548,0.0633518044211646,0.041308704968058,0.002235005,0.083162995,0.286843353,0.308715081,0.075980507,0.274971257,2.563124776,0,0,0,0
4,28.9626983086445,6.886644364,9.204115755,9.87057708558388,9.70015691465313,8.75400250451515,0.000454803027940408,-2.240226528357,0.884163508,0,0,0.0795566711910226,0.0835821038799115,0.0451358596751901,0.0496339525530671,0.0335678572976638,0.00278969,0.091134946,0.297680145,0.331806624,0.07672352,0.292870468,2.071527907,0,0,0,0
5,38.1350434834027,6.879884931,8.875375644,10.9239430191236,10.0552675051169,10.672196814919,0.000308325495275991,-2.76580507948858,0.607671289,0,0,0.0723162615851131,0.075280269901733,0.0366676583361132,0.0402775233577585,0.0269392912063824,0.004711779,0.094910497,0.290488292,0.306757995,0.071277761,0.295702245,1.885044046,0,0,0,0
6,40.297982229015,6.737943191,8.705105678,12.6509692358025,10.3664598479193,13.1648641045364,0.000277721324838179,-3.48240329586598,0.446021763,0,0,0.0631949289689714,0.0703539164457364,0.0334456428661684,0.0364223657928556,0.0222143501992334,0.002239917,0.084553449,0.281588432,0.276102045,0.061037162,0.276566876,1.511851032,0,0,0,0
7,39.9910445013464,6.378867416,8.79971156,14.420759067163,10.6676332726063,15.4415280313708,0.000201958821954547,-3.67429272432626,0.411451011,0,0,0.0619662157231951,0.0632007712211124,0.0370419768074866,0.0404361313934425,0.0253295118355663,0.002813224,0.07780049,0.265004426,0.298498738,0.067281772,0.277904309,1.505067499,0,0,0,0
8,33.2136101883919,6.318674793,8.81616433,15.5247829750196,10.9851810785102,16.5108191462275,0.000155463284437948,-3.5712218068998,0.476442673,0,0,0.0663317339703431,0.0693438961984427,0.0395147489196918,0.0435331373391441,0.0299879732795693,0.001986794,0.076396628,0.271803049,0.306983277,0.072240265,0.276883161,1.611241931,0,0,0,0
9,23.4335881604676,6.371221094,8.916883839,15.5210209385967,11.3221996358942,16.1065700008395,0.00014298126718484,-3.06755725378487,0.639261454,0,0,0.0819543761135407,0.0942992998637876,0.0484960427985692,0.0535196242583412,0.0374894138789707,0.005587776,0.104770991,0.310136513,0.344187478,0.087935106,0.31968123,2.113564167,0,0,0,0
10,13.433976855135,6.438145179,8.966530737,14.3216021561154,11.6475302990689,14.3513932367867,0.000189635895252556,-2.40845576092717,0.922987598,0,0,0.0927382912446939,0.0976146387569715,0.0487837739523034,0.054117255483358,0.0398021009780943,0.006933549,0.101448758,0.300786186,0.338287409,0.085928381,0.299492568,2.309724068,0,0,0,0
11,7.27122496543517,6.721663563,9.151220612,12.3761478793235,11.5857231562525,11.8513493491245,0.000321241607436247,-1.97133145124623,1,0,0,0.101878023073654,0.121249956991437,0.0501501032867833,0.0555452314192601,0.0402621502424389,0.008056161,0.119043914,0.316055049,0.342163398,0.087394471,0.326222597,2.862218333,0,0,0,0
12,4.66257656340398,7.35092367,9.266292968,11.0656295830847,11.0364337294972,9.88067696081866,0.000459413129437329,-1.76119837144204,1,0,0,0.106022970068117,0.115392765848247,0.0547863849313556,0.0799874191377924,0.0549621295236506,0.009033569,0.138671086,0.335815138,0.354703304,0.107539811,0.344904245,3.191206141,0,0,0,0
