"Value","Description"
1.53057486603331e-05,"water_column_detritus_mineralisation_rate"
1.33936335391229e-07,"upper_layer_water_column_nitrification_rate"
1.83593761797623e-09,"upper_layer_water_column_denitrification_rate"
0.0222340041920509,"lower_layer_water_column_nitrification_rate"
3.82532684513517e-07,"lower_layer_water_column_denitrification_rate"
0.499277427090726,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.36107837187235e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0290242382482171,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0124454076124014,"sediment_detritus_mineralisation_rate"
-8.87826245120642e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.65803213629738e-05,"sediment_nitrification_rate"
-3.44205673646606e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.607487302093199,"sediment_denitrification_rate"
1.29472158959275e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00990369755951245,"conversion_rate_of_discards_to_corpses"
0.178904595706084,"conversion_rate_of_corpses_to_sediment_detritus"
0.0199473008787453,"conversion_rate_of_kelp_debris_to_detritus"
0.117573781404324,"detritus_sinking_rate_in_the_upper_layers"
5.80409961211585e-06,"detritus_sinking_rate_in_the_lower_layer"
6.54047978974421e-05,"density_dependent_self_shading_parameter_for_kelp"
0.0014985665106238,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.03946450943029,"fitting_parameter_for_undersize_demersal_fish_function"
