"Value","Description"
1.53488227624339e-05,"water_column_detritus_mineralisation_rate"
1.33940479586864e-07,"upper_layer_water_column_nitrification_rate"
1.83204495375505e-09,"upper_layer_water_column_denitrification_rate"
0.0222174553958404,"lower_layer_water_column_nitrification_rate"
3.83859662433801e-07,"lower_layer_water_column_denitrification_rate"
0.499424171885061,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.36887592305027e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0289850092468348,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0124771626303026,"sediment_detritus_mineralisation_rate"
-8.88627967381408e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.67449296121897e-05,"sediment_nitrification_rate"
-3.44539014388011e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.607271246842894,"sediment_denitrification_rate"
1.29023119022106e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00988701404469186,"conversion_rate_of_discards_to_corpses"
0.178811929780749,"conversion_rate_of_corpses_to_sediment_detritus"
0.0199329172029866,"conversion_rate_of_kelp_debris_to_detritus"
0.117427269137192,"detritus_sinking_rate_in_the_upper_layers"
5.79050904692536e-06,"detritus_sinking_rate_in_the_lower_layer"
6.52433848968114e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00149827805421534,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.03569206102981,"fitting_parameter_for_undersize_demersal_fish_function"
