"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.347257911750504,0.177102683246321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.652742088249496,0.822897316753679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000452621660080357,NA,NA,NA,NA,NA,NA,0.283633604832156,0.365021477958839,0.179346423828407,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597943038157044,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00420651861547767,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00678124944228198,NA,NA,NA,0.357763456249102,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.109160510373942,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00697280541384844,NA,NA,NA
"phyt",NA,NA,0.929245226409752,NA,NA,NA,NA,NA,NA,0.716366395167844,0.634978522041161,0.222710538014549,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.766460482058461,0.149061071024489,0.950161229160292,0.359266578819736,0.424886055799764,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.116594687702232,0.00855788567599515,0.050362793337124,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.0145318688660602,NA,NA,0.074907665774079,0.016545911472538,0.157482755405652,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.017234977111468,NA,NA,0.230888861816634,0.0271354282868634,0.0538370637650232,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.323170915961982,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.00744926376820121,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00730412247198325,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.00145375227040024,0.138441552610156,0.674303526086005,0.0423755826451835,0.116516607719713,0.384867653029943,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0688483996597671,0.0633311193538544,0.176635402889506,0.00746318819452418,0.101825598167606,0.138007065734897,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.221115434221655,NA,NA,NA,0.631057219721572,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0633358912521561,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
