"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.310183728575789,0.190121818954614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.689816271424211,0.809878181045386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000351426518113471,NA,NA,NA,NA,NA,NA,0.302037874276536,0.368161097339118,0.243129807410123,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511647455746658,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00785074301031162,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00642554787514175,NA,NA,NA,0.427115302321512,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0850798787013498,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116033362045488,NA,NA,NA
"phyt",NA,NA,0.95090861420766,NA,NA,NA,NA,NA,NA,0.697962125723464,0.631838902660882,0.245222736843218,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.684812796341388,0.146666905839679,0.953710646825976,0.482755783681441,0.445982160949422,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.105471078583554,0.00774714374939865,0.0581287537323805,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.01793536292252,NA,NA,0.0847124313221358,0.0150801934355453,0.164292182218813,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0176135300688394,NA,NA,0.144011934834347,0.0462992416010719,0.0511837929580009,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.260680252316937,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.014081710320971,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00583188221487439,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.00128496689292172,0.171721909076051,0.675221738206398,0.0394036011794832,0.0901599514756697,0.321743513282831,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0474549923813051,0.107916401591201,0.178111355953923,0.00688575199454109,0.0928888201028524,0.163147746981731,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.270033992308569,NA,NA,NA,0.553430618463627,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0842620073529618,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
