"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.354819333890049,0.174328668648299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.645180666109951,0.825671331351701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000449656201281756,NA,NA,NA,NA,NA,NA,0.292042580191047,0.365254779898895,0.171540071892036,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609257177703282,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042187152286241,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00648881439507373,NA,NA,NA,0.363160029837837,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.108190411571794,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00714740192841647,NA,NA,NA
"phyt",NA,NA,0.930382488560388,NA,NA,NA,NA,NA,NA,0.707957419808952,0.634745220101104,0.219202750404682,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.749975370686825,0.152512153379285,0.943793338675904,0.339097169444897,0.414504814942642,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.12272233706181,0.0081404046430381,0.0484524476378806,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.0147053847923247,NA,NA,0.0826005321087446,0.0163900960467573,0.168299773545947,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0181676998021597,NA,NA,0.236967057779458,0.0277658327992496,0.048462751747272,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.352795940563471,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.00712660725035616,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00684740618192342,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.0013142109945855,0.152820267849871,0.675510408855655,0.047914739927698,0.110901635156212,0.391941518355664,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.067853644243745,0.0643312768688199,0.17197743776506,0.00829192139639809,0.107711268448878,0.14125733321265,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.189176198900572,NA,NA,NA,0.625473853005122,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0641596482057105,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
