"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0235799478128633,1.88557095950561e-08,0.00502560190263504,23.3690843750538,NA,3.29730517260886e-08,NA,0.0255293532947998
"phyt_s",NA,NA,2.68952626208451,6.22523302464837,NA,0.0786962834180341,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0737172572414427,NA,NA
"omnivzoo",NA,NA,2.37192130243175,0.718429709467223,NA,3.19068641405784e-05,NA,NA
"carnzoo",NA,NA,0.0992778448830998,0.185727860826338,NA,0.000167706447340453,NA,0.00298117520045193
"fishplar",NA,NA,0.52676894068466,1.17059226298426,NA,3.77569525314864e-06,NA,NA
"fishdlar",NA,NA,0.155815200671655,0.438307551908716,NA,5.83208769703334e-07,NA,NA
"fishp",NA,NA,0.23486716703229,0.587171831685684,NA,4.84445558206451e-05,0.00280853714960478,0.99548982123295
"fishm",NA,NA,0.0727616235309781,0.305594098697076,NA,1.9925295228494e-06,4.97063168768148e-05,0.384337862103225
"fishd",NA,NA,0.0363444780761642,0.0966963211136844,NA,0.000129560798986614,0.00208485045758109,0.5040778272907
"benthslar",NA,NA,0.288215835107398,0.571780175706873,NA,4.34033833212769e-06,NA,NA
"benthclar",NA,NA,0.633507817307346,0.663332272802452,NA,1.76365012022997e-07,NA,NA
"benths",NA,NA,0.316322820862137,0.315629083107673,NA,0.000264736135327647,NA,0.0392082923204845
"benthc",NA,NA,0.0300769956886634,2.24848613316893,NA,0.000292189198482292,NA,0.0965796151361741
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00780227087520424,0.106226887857728
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.0086698181010045,0.225351702605081
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00858232587631312,0.251692657773591
