"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0199873791985901,1.74641681565801e-08,0.00515076739883283,16.7918909619923,NA,3.29759156824943e-08,NA,0.0255689329259931
"phyt_s",NA,NA,2.49615161052254,7.97504775818825,NA,0.0787161751497974,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.073704677104852,NA,NA
"omnivzoo",NA,NA,2.06664598655525,0.373064809596473,NA,3.19059457084187e-05,NA,NA
"carnzoo",NA,NA,0.113146997670633,0.173035629833265,NA,0.000167718461770446,NA,0.00298053208662165
"fishplar",NA,NA,0.332915279809604,1.28346496322587,NA,3.77555811663841e-06,NA,NA
"fishdlar",NA,NA,0.220365997101548,0.5589542736483,NA,5.83116293357718e-07,NA,NA
"fishp",NA,NA,0.225129041877211,0.518673474821164,NA,4.84318896921734e-05,0.00281746745353286,0.995593877387138
"fishm",NA,NA,0.0935845988511222,0.333902809264406,NA,1.99192449282581e-06,4.96714496590209e-05,0.384748620054691
"fishd",NA,NA,0.0386807983748601,0.112235640068292,NA,0.00012951620408355,0.00208868247009815,0.504120807086743
"benthslar",NA,NA,0.305652199382491,0.482553741389081,NA,4.34116958267882e-06,NA,NA
"benthclar",NA,NA,0.491210074245558,0.514034876225563,NA,1.76375887513451e-07,NA,NA
"benths",NA,NA,0.329640935069779,0.204042845464399,NA,0.000264702709114755,NA,0.0391366363338134
"benthc",NA,NA,0.0331889104710959,2.27248416907341,NA,0.000292279971412293,NA,0.0965750248595136
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00780124292938904,0.106704526581714
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.00866379506966658,0.225646015424272
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00858976358469735,0.251415222230716
