"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0228819929425392,1.92189709094635e-08,0.00481033044997732,22.1616692780331,NA,3.2974289282176e-08,NA,0.0254531601997481
"phyt_s",NA,NA,3.18528941002525,6.08633970614031,NA,0.0786978155940818,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0737249626380047,NA,NA
"omnivzoo",NA,NA,2.26340929615691,0.84770904044238,NA,3.19029900275819e-05,NA,NA
"carnzoo",NA,NA,0.0913390379532614,0.211232431878883,NA,0.000167746946189379,NA,0.00298131453420661
"fishplar",NA,NA,0.488908355072588,1.13154992334611,NA,3.77437537206452e-06,NA,NA
"fishdlar",NA,NA,0.140606225331526,0.466995989931551,NA,5.83072540005213e-07,NA,NA
"fishp",NA,NA,0.217340764171065,0.669602045317455,NA,4.84544192324775e-05,0.00280208526005154,0.995365354190968
"fishm",NA,NA,0.0665673424229641,0.291924806223107,NA,1.99203958254092e-06,4.98705709690905e-05,0.383315409634847
"fishd",NA,NA,0.0351774825133164,0.0982627356784978,NA,0.000129549825276793,0.00207891323799479,0.506575374623353
"benthslar",NA,NA,0.303725602811141,0.526252047219994,NA,4.34071524539738e-06,NA,NA
"benthclar",NA,NA,0.494206517488978,0.773027705793036,NA,1.76363521633554e-07,NA,NA
"benths",NA,NA,0.320184597613521,0.293917086967269,NA,0.000264800559517926,NA,0.0394080473678689
"benthc",NA,NA,0.0309770729123979,2.33816166510635,NA,0.000292281664052969,NA,0.0965379471416937
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00779274200222914,0.10635794856608
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.00867425245938411,0.225596525979032
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00857668694034364,0.251794276681913
