"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.301749365868195,6.53832711353295,6.41629097795515,2.75302027553378,3.14336870857636,6.50326986122102,7.64658929152464e-06,-2.40034291340472,1,0.0218756296231239,0.00198497515232261,0.00699901802488961,0.00349426670500272,0.00200199009368486,5.04200341178495e-05,1.68518115850002e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.96887431144714,-4.52217293051393,0.9,0.00140230261678291,0.00142928335715936
2,2.54483454553253,6.39820299417589,6.40676204182044,2.43705167710629,3.05971684321285,6.00221349895219,6.94474815069251e-06,-2.28744703472473,1,0.0279933850413909,0.00252542836323492,0.00596033427490274,0.00304157703195135,0.00187752848770171,6.74287736256304e-05,2.03167224619711e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.94369156360626,-4.28077487823454,0.9,0.00152893894613762,0.00144309540946193
3,9.60973751730873,6.10530555651172,6.14447700798117,2.29766886773909,2.96895702427173,5.71068615200637,5.21080660920632e-06,-2.45423542239177,1,0.0301558985200144,0.00282456862593324,0.00571165864297585,0.00297575622994163,0.0015501928099486,7.28981860541437e-05,1.68901545437931e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.88772667646408,-4.3692904754331,0.9,0.00146896039355953,0.00145621893113411
4,19.9520946947859,5.99306666303461,6.21393395123603,2.32284002720402,2.93466541662028,5.71020264025456,6.21235249692568e-06,-2.47852199458903,0.884163508,0.0312909501552819,0.00295026280311712,0.00548590716397359,0.00279704921223611,0.00149674282940436,5.06474670513042e-05,1.55733760480333e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.11071622371674,-4.62858292101656,0.9,0.00132900976435299,0.00135467549309331
5,28.2997605762891,6.26831560026435,6.48895199660446,2.8001232654974,2.96785394991372,6.57437703916397,1.0580860609318e-05,-2.87066992461688,0.607671289,0.0201547067254355,0.00189229839870845,0.00472773099350358,0.00241190616091574,0.00148624383561634,8.50753718555473e-05,1.50602847331212e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.63945180177689,-4.62446800209856,0.9,0.00117484161916653,0.00120308906957645
6,33.9593250493685,6.7918426966867,6.82225115823817,4.04287727775208,3.00801003764136,8.27642989047174,7.49716553717368e-06,-4.22644809661451,0.446021763,0.00928307642220589,0.000887904353077606,0.00501816061917489,0.00235056834655449,0.00131832534129064,0.000145734020662549,1.52918174801848e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.45868036746979,-4.68622138733435,0.9,0.000994812999217258,0.00103308213601463
7,29.5662090374456,6.75758106253447,6.52609603920332,5.28632287290307,3.03773480934715,9.50842137323185,7.28068300304259e-06,-4.59151193520118,0.411451011,0.00648293826774565,0.000658080861735968,0.00423592340889318,0.00190473161999452,0.00141110750875535,0.000169479553996856,1.5084371659445e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.26399610042572,-4.79388141918486,0.9,0.000944088253279695,0.00101445189137543
8,19.7141274402417,6.46414264365061,6.29068912282753,6.11901938108763,3.06694237434168,10.3389268009133,7.32528941626722e-06,-4.59606667735387,0.476442673,0.0054733873623444,0.000504287032754664,0.00462534123483829,0.00225190822018919,0.00171553352295135,0.000168033941105266,1.4201884721573e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.38721853494644,-4.79222513918152,0.9,0.000977704110659198,0.000981541821318382
9,10.3674295371489,6.30520261329914,6.25643529635617,6.28747929545159,3.10620181324488,10.827911624484,7.04676001399313e-06,-4.4920881797163,0.639261454,0.00604326672552261,0.000491992941309848,0.00516297646646106,0.00281178240269897,0.00227656933340294,0.000128004503004763,1.79732316286587e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.88318481445312,-4.60171400058203,0.9,0.00111709524513721,0.00106927257709184
10,3.91906266028765,6.43495516722152,6.34450784710347,5.76683363947542,3.16240493866464,10.3332565793082,9.01471840594253e-06,-4.12187901351983,0.922987598,0.00613839743023381,0.000556727850309093,0.00577246635163894,0.00297040630342849,0.00213971370827073,7.61720063631337e-05,1.98078449188759e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.39695960283279,-4.60404376615301,0.9,0.00116594758491407,0.00116022525248317
