Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,0.301749366,6.538327114,6.416290978,2.753020276,3.143368709,6.503269861,7.65E-06,-2.400342913,1,0.02187563,0.001984975,0.006999018,0.003494267,0.00200199,5.04E-05,1.69E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,2.968874311,-4.522172931,0.9,0.001402303,0.001429283
2,2.544834546,6.398202994,6.406762042,2.437051677,3.059716843,6.002213499,6.94E-06,-2.287447035,1,0.027993385,0.002525428,0.005960334,0.003041577,0.001877528,6.74E-05,2.03E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,2.943691564,-4.280774878,0.9,0.001528939,0.001443095
3,9.609737517,6.105305557,6.144477008,2.297668868,2.968957024,5.710686152,5.21E-06,-2.454235422,1,0.030155899,0.002824569,0.005711659,0.002975756,0.001550193,7.29E-05,1.69E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,2.887726676,-4.369290475,0.9,0.00146896,0.001456219
4,19.95209469,5.993066663,6.213933951,2.322840027,2.934665417,5.71020264,6.21E-06,-2.478521995,0.884163508,0.03129095,0.002950263,0.005485907,0.002797049,0.001496743,5.06E-05,1.56E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,2.110716224,-4.628582921,0.9,0.00132901,0.001354675
5,28.29976058,6.2683156,6.488951997,2.800123265,2.96785395,6.574377039,1.06E-05,-2.870669925,0.607671289,0.020154707,0.001892298,0.004727731,0.002411906,0.001486244,8.51E-05,1.51E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,1.639451802,-4.624468002,0.9,0.001174842,0.001203089
6,33.95932505,6.791842697,6.822251158,4.042877278,3.008010038,8.27642989,7.50E-06,-4.226448097,0.446021763,0.009283076,0.000887904,0.005018161,0.002350568,0.001318325,0.000145734,1.53E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,1.458680367,-4.686221387,0.9,0.000994813,0.001033082
7,29.56620904,6.757581063,6.526096039,5.286322873,3.037734809,9.508421373,7.28E-06,-4.591511935,0.411451011,0.006482938,0.000658081,0.004235923,0.001904732,0.001411108,0.00016948,1.51E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,1.2639961,-4.793881419,0.9,0.000944088,0.001014452
8,19.71412744,6.464142644,6.290689123,6.119019381,3.066942374,10.3389268,7.33E-06,-4.596066677,0.476442673,0.005473387,0.000504287,0.004625341,0.002251908,0.001715534,0.000168034,1.42E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,1.387218535,-4.792225139,0.9,0.000977704,0.000981542
9,10.36742954,6.305202613,6.256435296,6.287479295,3.106201813,10.82791162,7.05E-06,-4.49208818,0.639261454,0.006043267,0.000491993,0.005162976,0.002811782,0.002276569,0.000128005,1.80E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,1.883184814,-4.601714001,0.9,0.001117095,0.001069273
10,3.91906266,6.434955167,6.344507847,5.766833639,3.162404939,10.33325658,9.01E-06,-4.121879014,0.922987598,0.006138397,0.000556728,0.005772466,0.002970406,0.002139714,7.62E-05,1.98E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,2.396959603,-4.604043766,0.9,0.001165948,0.001160225
11,0.638568271,6.500037551,6.473097898,4.525499777,3.224605954,8.588011278,1.03E-05,-3.037723402,1,0.009021987,0.000777809,0.005704446,0.003038006,0.002190874,5.70E-05,2.10E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,2.598583019,-4.558390089,0.9,0.001312348,0.001277678
12,0.073368089,6.479405419,6.458307617,3.401093681,3.239220414,7.432925412,9.00E-06,-2.567546607,1,0.014272975,0.001256046,0.006920029,0.003750196,0.002386304,7.51E-05,2.14E-02,0.000326642,0.000326642,0.000326642,9.62E-08,9.62E-08,9.62E-08,3.170000744,-4.3870499,0.9,0.001531154,0.0014618
