"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.292870163313441,0.236414122190677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.707129836686559,0.763585877809324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000262968019887915,NA,NA,NA,NA,NA,NA,0.243105003802242,0.372541168211028,0.231638350912449,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.570227601735709,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00811457547451505,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00515536558955878,NA,NA,NA,0.458294651954068,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0507920800660117,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00709045601201967,NA,NA,NA
"phyt",NA,NA,0.959586374701165,NA,NA,NA,NA,NA,NA,0.756894996197758,0.627458831788972,0.198134047351843,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.711767290196496,0.114433385270611,0.967042719328297,0.398512329423474,0.535320220035623,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.0874159306989746,0.00492812579845506,0.0561093983821192,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.0115705307211015,NA,NA,0.12373253369014,0.00821876044986052,0.124380309748005,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0328822328067829,NA,NA,0.160396969995004,0.0499013307235179,0.0569718994938599,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.446878100418785,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.00861333735526736,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00902101911679233,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.00163790241110609,0.145213932167335,0.659606007223093,0.0255233533659066,0.105099511476584,0.244573491968021,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0385127548678414,0.0985660141082845,0.225960607506297,0.00743392730579628,0.124842724715822,0.157058071024523,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.178846370956421,NA,NA,NA,0.526500316559398,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0632321188731803,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
