"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0200000549631155,1.31200437199061e-08,0.00571304238132705,17.4820109212729,NA,3.29960825886109e-08,NA,0.0256610405489106
"phyt_s",NA,NA,2.47955000117951,7.19352217018394,NA,0.0788695023239208,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0736415618614388,NA,NA
"omnivzoo",NA,NA,2.62787053794084,0.51221700850571,NA,3.19336582608347e-05,NA,NA
"carnzoo",NA,NA,0.145022307453875,0.108237220052293,NA,0.000167773245373066,NA,0.0029767603349651
"fishplar",NA,NA,0.214169005158815,1.35264897702401,NA,3.77734568259902e-06,NA,NA
"fishdlar",NA,NA,0.233181276334724,0.567135739722268,NA,5.8289488116367e-07,NA,NA
"fishp",NA,NA,0.305907197698182,0.315228572359684,NA,4.84292679631483e-05,0.00278040351263779,0.976208762487442
"fishm",NA,NA,0.0766129411899395,0.312884203976798,NA,1.99172485430627e-06,5.0038558235114e-05,0.39316901616806
"fishd",NA,NA,0.045742458556347,0.114820185988072,NA,0.000129369617237778,0.00208282457250153,0.510705715582468
"benthslar",NA,NA,0.157494292988891,0.469197173813552,NA,4.34298429169028e-06,NA,NA
"benthclar",NA,NA,0.494867975613504,0.380446655801296,NA,1.76698716571677e-07,NA,NA
"benths",NA,NA,0.240009524972042,0.277321591950183,NA,0.000264300682080418,NA,0.0385049759818998
"benthc",NA,NA,0.0305818450738174,2.32575087432532,NA,0.000292859155703953,NA,0.0969914826267432
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00782873530645737,0.109810721147532
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.00868097975036499,0.224817389299964
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00834733248862487,0.254250950275749
