"parametername","parameterid","trajectoryid","levelid","delta_p","likelihood","EE"
"baseline",0,1,0,0,0.515785830555418,0
"fdriversslight",1001,1,4,0.1,0.509967309486531,-0.058185210688868
"fdriverso_logespm",1002,1,4,0.1,0.515747793218258,-0.00038037337160568
"fdriversi_logespm",1003,1,4,0.1,0.516299618089502,0.00513787534083709
"fdriverso_temp",1004,1,4,0.1,0.51612547739556,0.00339646840142205
"fdriverd_temp",1005,1,4,0.1,0.515896764726611,0.00110934171192789
"fdriversi_temp",1006,1,4,0.1,0.513441153655069,-0.0234467690034901
"fdriverv_dif",1007,1,4,0.1,0.515856177646244,0.00070347090826206
"fdriverDO_v_dif",1008,1,4,0.1,0.515783260874358,-2.56968106071564e-05
"fdriverso_inflow",1009,1,4,0.1,0.515058957281059,-0.00726873274359607
"fdriverd_inflow",1010,1,4,0.1,0.515896478153441,0.00110647598022817
"fdriversi_inflow",1011,1,4,0.1,0.514363420251199,-0.014224103042193
"fdriversi_outflow",1014,1,4,0.1,0.515741373011716,-0.0004445754370197
"fdriverso_si_flow",1015,1,4,0.1,0.512041708195137,-0.0374412236028154
"fdriverd_so_upwell",1017,1,4,0.1,0.515623848008343,-0.00161982547075112
"fdriverso_d_downwell",1018,1,4,0.1,0.515943651008587,0.00157820453169033
"fdriverDO_d_upwell",1019,1,4,0.1,0.515750551338815,-0.00035279216603401
"fdriverd_DO_downwell",1020,1,4,0.1,0.515790966481185,5.13592576656396e-05
"fdriverriver",1021,1,4,0.1,0.515777792244385,-8.03831103302066e-05
"fdriverboundso_det",1022,1,4,0.1,0.515725899776134,-0.00059930779284012
"fdriverboundd_det",1023,1,4,0.1,0.515732254584734,-0.000535759706837835
"fdriverboundsi_det",1024,1,4,0.1,0.51530294492536,-0.00482885630058049
"fdriverboundDO_det",1025,1,4,0.1,0.515779082145185,-6.7484102330706e-05
"fdriverboundso_amm",1026,1,4,0.1,0.515770379469054,-0.000154510863646928
"fdriverboundd_amm",1027,1,4,0.1,0.515762988993182,-0.000228415622358646
"fdriverboundsi_amm",1028,1,4,0.1,0.515672696290434,-0.00113134264983827
"fdriverboundDO_amm",1029,1,4,0.1,0.515781018983444,-4.81157197407267e-05
"fdriverboundso_nit",1030,1,4,0.1,0.514568716150902,-0.0121711440451599
"fdriverboundd_nit",1031,1,4,0.1,0.512893625313205,-0.028922052422129
"fdriverboundsi_nit",1032,1,4,0.1,0.509343084845829,-0.064427457095888
"fdriverboundDO_nit",1033,1,4,0.1,0.515167070518873,-0.00618760036545595
"fdriverboundso_phyt",1034,1,4,0.1,0.514877507874997,-0.00908322680421735
"fdriverboundd_phyt",1035,1,4,0.1,0.515809653192955,0.000238226375368633
"fdriverboundsi_phyt",1036,1,4,0.1,0.514943204458351,-0.00842626097067311
"fdriverboundriv_amm",1037,1,4,0.1,0.51578493986554,-8.90689878296768e-06
"fdriverboundriv_nit",1038,1,4,0.1,0.515765071408671,-0.000207591467470403
"fdriverboundriv_det",1039,1,4,0.1,0.515785830555418,0
"fdriverso_atm_amm",1040,1,4,0.1,0.515785942192266,1.11636847988095e-06
"fdriverso_atm_nit",1041,1,4,0.1,0.515781740167102,-4.09038831583608e-05
"fdriversi_atm_amm",1042,1,4,0.1,0.515774612690741,-0.00011217864677282
"fdriversi_atm_nit",1043,1,4,0.1,0.515763583948138,-0.000222466072800076
"fdriver_s1_erosion",1044,1,4,0.1,0.515787116851307,1.28629588913576e-05
"fdriver_s2_erosion",1045,1,4,0.1,0.515788397294602,2.56673918419547e-05
"fdriver_s3_erosion",1046,1,4,0.1,0.515786561302412,7.30746993582442e-06
"fdriver_d1_erosion",1047,1,4,0.1,0.515786254073301,4.23517882430779e-06
"fdriver_d2_erosion",1048,1,4,0.1,0.515786404317193,5.73761774980141e-06
"fdriver_d3_erosion",1049,1,4,0.1,0.515785118010688,-7.12544730219199e-06
"fdriver_s_wave",1050,1,4,0.1,0.514192108637501,-0.0159372191791684
"fdriverpfish_sp",1051,1,4,0.1,0.51561632506162,-0.0016950549379835
"fdriverpfish_rec",1052,1,4,0.1,0.515805659079636,0.000198285242178908
"fdriverdfish_sp",1053,1,4,0.1,0.512163201273075,-0.0362262928234324
"fdriverdfish_rec",1054,1,4,0.1,0.491506769033312,-0.242790615221063
"fdriverbs_sp",1055,1,4,0.1,0.515816397278494,0.000305667230762196
"fdriverbs_rec",1056,1,4,0.1,0.515409656147385,-0.00376174408033391
"fdriverbc_sp",1057,1,4,0.1,0.515418035763871,-0.0036779479154736
"fdriverbc_rec",1058,1,4,0.1,0.515785895395609,6.4840190883153e-07
"fdrivermfish_im",1059,1,4,0.1,0.502260136787347,-0.135256937680717
"fdrivermfish_em",1060,1,4,0.1,0.523965103422965,0.0817927286754671
"thik_so",1,1,4,0.1,0.508232382329849,-0.0755344822556913
"thik_d",2,1,4,0.1,0.498830822413609,-0.169550081418097
"thik_si",3,1,4,0.1,0.510734383941086,-0.0505144661433232
"thik_b",4,1,4,0.1,0.514442866142685,-0.0134296441273329
"porosity_s1",29,1,4,0.1,0.515787780580171,1.95002475289474e-05
"porosity_s2",30,1,4,0.1,0.516289060569376,0.00503230013957467
"porosity_s3",31,1,4,0.1,0.515864171413923,0.000783408585046663
"porosity_d1",32,1,4,0.1,0.515785958199019,1.27643600356109e-06
"porosity_d2",33,1,4,0.1,0.515787688663617,1.85810819874899e-05
"porosity_d3",34,1,4,0.1,0.515785494468122,-3.36087296437526e-06
"sed_wat_dif_s1",35,1,4,0.1,0.515791690201382,5.85964596344634e-05
"sed_wat_dif_s2",36,1,4,0.1,0.515828613787164,0.000427832317454468
"sed_wat_dif_s3",37,1,4,0.1,0.515793286334724,7.45577930605367e-05
"sed_wat_dif_d1",38,1,4,0.1,0.515787387564906,1.5570094882289e-05
"sed_wat_dif_d2",39,1,4,0.1,0.515785679914343,-1.50641075613578e-06
"sed_wat_dif_d3",40,1,4,0.1,0.515786120376457,2.89821039056725e-06
"sed_ref_Kxw",41,1,4,0.1,0.515785951070582,1.20515163626322e-06
"bioturb_depth_s1",42,1,4,0.1,0.515783478119601,-2.35243581725441e-05
"bioturb_depth_s2",43,1,4,0.1,0.515785796019265,-3.45361529374699e-07
"bioturb_depth_s3",44,1,4,0.1,0.515786752382916,9.2182749822367e-06
"bioturb_depth_d1",45,1,4,0.1,0.51578651488902,6.84333601674857e-06
"bioturb_depth_d2",46,1,4,0.1,0.515784618962651,-1.2115927674472e-05
"bioturb_depth_d3",47,1,4,0.1,0.515785811317825,-1.92375929630728e-07
"erosion_depth_s1",48,1,4,0.1,0.515787116851307,1.28629588913576e-05
"erosion_depth_s2",49,1,4,0.1,0.515785445063725,-3.8549169278923e-06
"erosion_depth_s3",50,1,4,0.1,0.515785800121482,-3.04339365930772e-07
"erosion_depth_d1",51,1,4,0.1,0.515786254073301,4.23517882430779e-06
"erosion_depth_d2",52,1,4,0.1,0.515786404317193,5.73761774980141e-06
"erosion_depth_d3",53,1,4,0.1,0.515785118010688,-7.12544730219199e-06
"lightSPM_intercept",54,1,4,0.1,0.515794734001792,8.90344637372031e-05
"lightSPM_slope",55,1,4,0.1,0.516150551499409,0.00364720943991092
"offshore_phyt_prop_depth",56,1,4,0.1,0.515361038282199,-0.00424792273219565
"inshore_phyt_prop_depth",57,1,4,0.1,0.515986614686094,0.00200784130675702
"inshore_kelp_prop_depth",58,1,4,0.1,0.516573424538999,0.00787593983580303
"F_inshore_pelagic",59,1,4,0.1,0.515244588433628,-0.00541242121790408
"F_offshore_pelagic",60,1,4,0.1,0.515760661481209,-0.000251690742096855
"F_inshore_demersal",61,1,4,0.1,0.512112486714608,-0.0367334384081064
"F_offshore_demersal",62,1,4,0.1,0.515765638083006,-0.000201924724125835
"F_inshore_migratory",63,1,4,0.1,0.514955118995368,-0.00830711560050101
"F_offshore_migratory",64,1,4,0.1,0.510737965142054,-0.0504786541336432
"F_inshore_filtben",65,1,4,0.1,0.513575541060734,-0.0221028949468393
"F_offshore_filtben",66,1,4,0.1,0.515785830555418,0
"F_inshore_carnben",67,1,4,0.1,0.515747157318697,-0.000386732367216868
