"Value","Description"
1.53131132617992e-05,"water_column_detritus_mineralisation_rate"
1.33789049412436e-07,"upper_layer_water_column_nitrification_rate"
1.84091837277665e-09,"upper_layer_water_column_denitrification_rate"
0.0222467385805839,"lower_layer_water_column_nitrification_rate"
3.82708811404673e-07,"lower_layer_water_column_denitrification_rate"
0.499110048127169,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.37289014899314e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0289742440609524,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0123952903604255,"sediment_detritus_mineralisation_rate"
-8.87971603820706e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.66991845264477e-05,"sediment_nitrification_rate"
-3.43667745393327e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.606683484029975,"sediment_denitrification_rate"
1.29184702051133e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00987223564556318,"conversion_rate_of_discards_to_corpses"
0.179228928825847,"conversion_rate_of_corpses_to_sediment_detritus"
0.0199379984918274,"conversion_rate_of_kelp_debris_to_detritus"
0.117537380665615,"detritus_sinking_rate_in_the_upper_layers"
5.81470111460959e-06,"detritus_sinking_rate_in_the_lower_layer"
6.55221953253615e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00149922641288135,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.04211620414035,"fitting_parameter_for_undersize_demersal_fish_function"
