"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.29477979829317,0.247842203760234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.70522020170683,0.752157796239766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000265358792027122,NA,NA,NA,NA,NA,NA,0.255473826665393,0.356645817192867,0.23901754212203,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544469299307113,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00651638306864116,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00567347558972892,NA,NA,NA,0.46140218355322,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0553394800111356,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00683888973124766,NA,NA,NA
"phyt",NA,NA,0.952302089714921,NA,NA,NA,NA,NA,NA,0.744526173334607,0.643354182807133,0.216513158570857,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.688495469030756,0.12247978422686,0.967332282780036,0.383474482737151,0.550594249227341,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.0917716609027255,0.00411807372811784,0.0549320222104385,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.0116283574791644,NA,NA,0.136904190932862,0.00781411059899678,0.107646507344944,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0354412698275802,NA,NA,0.158865677086076,0.0545680060051849,0.0509685135036248,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.460177099564945,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.00880163348896097,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.0100360200007091,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.00175692132648979,0.155004352786385,0.669131966612799,0.0254766477080329,0.102288981649305,0.223238125061948,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0456756301665621,0.109430550876115,0.208388249160341,0.00719106951193067,0.12669500669188,0.159667435378412,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.178863965840864,NA,NA,NA,0.525242543646891,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0675612824446492,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
