"Value","Description"
1.50330797642274e-05,"water_column_detritus_mineralisation_rate"
1.3402618460951e-07,"upper_layer_water_column_nitrification_rate"
1.85887466261215e-09,"upper_layer_water_column_denitrification_rate"
0.0222585754509424,"lower_layer_water_column_nitrification_rate"
3.83392235404996e-07,"lower_layer_water_column_denitrification_rate"
0.497674901026674,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.45281182160602e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0289259460795559,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0124069641638781,"sediment_detritus_mineralisation_rate"
-8.85236547716033e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.68241914233832e-05,"sediment_nitrification_rate"
-3.42051921621539e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.606356342778631,"sediment_denitrification_rate"
1.28478194095308e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00984397384007124,"conversion_rate_of_discards_to_corpses"
0.177930042861147,"conversion_rate_of_corpses_to_sediment_detritus"
0.0200658938045871,"conversion_rate_of_kelp_debris_to_detritus"
0.115810769573183,"detritus_sinking_rate_in_the_upper_layers"
5.79908224931974e-06,"detritus_sinking_rate_in_the_lower_layer"
6.436477538678e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00152614629443944,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.04801200846847,"fitting_parameter_for_undersize_demersal_fish_function"
