"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0207794494333359,1.17920353825564e-08,0.00548589273994885,16.5078992177308,NA,3.300429462124e-08,NA,0.0256564719072257
"phyt_s",NA,NA,2.62099541277397,6.65456935326306,NA,0.0787997007994691,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0736723691950575,NA,NA
"omnivzoo",NA,NA,1.94497775219417,0.610874580222208,NA,3.19389328884611e-05,NA,NA
"carnzoo",NA,NA,0.138257557156195,0.1111680261029,NA,0.000167932362734057,NA,0.00297737803490384
"fishplar",NA,NA,0.214409996223788,1.33949289933095,NA,3.7781966191592e-06,NA,NA
"fishdlar",NA,NA,0.213274920438766,0.556658709933626,NA,5.83241215065592e-07,NA,NA
"fishp",NA,NA,0.277855548369493,0.307924544614266,NA,4.84351515556597e-05,0.0027803904234917,0.976137364656644
"fishm",NA,NA,0.0797581991560891,0.345052011851397,NA,1.99128074792598e-06,5.00277765722215e-05,0.39327703548244
"fishd",NA,NA,0.0455718141722603,0.110201501435749,NA,0.000129309558942793,0.00208133071204076,0.510617861051045
"benthslar",NA,NA,0.151944833494174,0.4744400751619,NA,4.34284084386678e-06,NA,NA
"benthclar",NA,NA,0.477621665954777,0.331950491034009,NA,1.76645298021491e-07,NA,NA
"benths",NA,NA,0.216499600011458,0.302105088161983,NA,0.000264366249178945,NA,0.0384734395005282
"benthc",NA,NA,0.0326784952489576,2.75524686656568,NA,0.000292864102247845,NA,0.0970703244381479
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00783132312636253,0.10983060618867
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.00868122147273374,0.2249145964149
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00834696540837577,0.254405081341155
