parametername,parameterid,fixfit,Parameter.class,Parameter.description,Model.guild.or.feature
thik_so,1,5,Physical configuration,Vertical thickness,Offshore zone upper layer
thik_d,2,5,Physical configuration,Vertical thickness,Offshore zone lower layer
thik_si,3,5,Physical configuration,Vertical thickness,Inshore zone
thik_b,4,5,Physical configuration,Vertical thickness,Benthic boundary feeding layer
porosity_s1,29,5,Physical configuration,Sediment porosity,Inshore muddy sediments
porosity_s2,30,5,Physical configuration,Sediment porosity,Inshore sandy sediments
porosity_s3,31,5,Physical configuration,Sediment porosity,Inshore coarse sediments
porosity_d1,32,5,Physical configuration,Sediment porosity,Offshore muddy sediments
porosity_d2,33,5,Physical configuration,Sediment porosity,Offshore sandy sediments
porosity_d3,34,5,Physical configuration,Sediment porosity,Offshore coarse sediments
sed_wat_dif_s1,35,5,Physical configuration,Hydraulic conductivity,Inshore muddy sediments
sed_wat_dif_s2,36,5,Physical configuration,Hydraulic conductivity,Inshore sandy sediments
sed_wat_dif_s3,37,5,Physical configuration,Hydraulic conductivity,Inshore coarse sediments
sed_wat_dif_d1,38,5,Physical configuration,Hydraulic conductivity,Offshore muddy sediments
sed_wat_dif_d2,39,5,Physical configuration,Hydraulic conductivity,Offshore sandy sediments
sed_wat_dif_d3,40,5,Physical configuration,Hydraulic conductivity,Offshore coarse sediments
sed_ref_Kxw,41,5,Physical configuration,Hydraulic conductivity,Reference value for sediment-dependent processes
bioturb_depth_s1,42,5,Physical configuration,Bioturbation depth,Inshore muddy sediments
bioturb_depth_s2,43,5,Physical configuration,Bioturbation depth,Inshore sandy sediments
bioturb_depth_s3,44,5,Physical configuration,Bioturbation depth,Inshore coarse sediments
bioturb_depth_d1,45,5,Physical configuration,Bioturbation depth,Offshore muddy sediments
bioturb_depth_d2,46,5,Physical configuration,Bioturbation depth,Offshore sandy sediments
bioturb_depth_d3,47,5,Physical configuration,Bioturbation depth,Offshore coarse sediments
erosion_depth_s1,48,5,Physical configuration,Physical disturbance depth,Inshore muddy sediments
erosion_depth_s2,49,5,Physical configuration,Physical disturbance depth,Inshore sandy sediments
erosion_depth_s3,50,5,Physical configuration,Physical disturbance depth,Inshore coarse sediments
erosion_depth_d1,51,5,Physical configuration,Physical disturbance depth,Offshore muddy sediments
erosion_depth_d2,52,5,Physical configuration,Physical disturbance depth,Offshore sandy sediments
erosion_depth_d3,53,5,Physical configuration,Physical disturbance depth,Offshore coarse sediments
lightSPM_intercept,54,5,Physical configuration,Intercept,Light attenuation coefficient vs SPM
lightSPM_slope,55,5,Physical configuration,Coefficient,Light attenuation coefficient vs SPM
offshore_phyt_prop_depth,56,5,Physical configuration,Proportion of depth range occupied,Phytoplankton offshore
inshore_phyt_prop_depth,57,5,Physical configuration,Proportion of depth range occupied,Phytoplankton inshore
inshore_kelp_prop_depth,58,5,Physical configuration,Proportion of depth range occupied,Macrophytes inshore
F_inshore_pelagic,59,3,Harvest ratio,Harvest ratio inshore,Planktivorous fish
F_offshore_pelagic,60,3,Harvest ratio,Harvest ratio offshore,Planktivorous fish
F_inshore_demersal,61,3,Harvest ratio,Harvest ratio inshore,Demersal fish
F_offshore_demersal,62,3,Harvest ratio,Harvest ratio offshore,Demersal fish
F_inshore_migratory,63,3,Harvest ratio,Harvest ratio inshore,Migratory fish
F_offshore_migratory,64,3,Harvest ratio,Harvest ratio offshore,Migratory fish
F_inshore_filtben,65,3,Harvest ratio,Harvest ratio inshore,Suspension/deposit feeding benthos
F_offshore_filtben,66,3,Harvest ratio,Harvest ratio offshore,Suspension/deposit feeding benthos
F_inshore_carnben,67,3,Harvest ratio,Harvest ratio inshore,Carnivore/scavenge feeding benthos
F_offshore_carnben,68,3,Harvest ratio,Harvest ratio offshore,Carnivore/scavenge feeding benthos
F_inshore_carnzoo,69,3,Harvest ratio,Harvest ratio inshore,Carnivorous zooplankton
F_offshore_carnzoo,70,3,Harvest ratio,Harvest ratio offshore,Carnivorous zooplankton
F_inshore_bird,71,3,Harvest ratio,Harvest ratio inshore,Birds
F_offshore_bird,72,3,Harvest ratio,Harvest ratio offshore,Birds
F_inshore_seal,73,3,Harvest ratio,Harvest ratio inshore,Pinnipeds
F_offshore_seal,74,3,Harvest ratio,Harvest ratio offshore,Pinnipeds
F_inshore_ceta,75,3,Harvest ratio,Harvest ratio inshore,Cetaceans
F_offshore_ceta,76,3,Harvest ratio,Harvest ratio offshore,Cetaceans
F_inshore_kelp,77,3,Harvest ratio,Harvest ratio inshore,Macrophytes
F_offshore_kelp,78,3,Harvest ratio,Harvest ratio offshore,Macrophytes
QnQ_coef,79,2,Fishing fleet model,Coefficient,Demersal fish non-quota proportion in catch vs nitrogen mass
QnQ_exp,80,2,Fishing fleet model,Exponent,Demersal fish non-quota proportion in catch vs nitrogen mass
NQus_coef,81,2,Fishing fleet model,Coefficient,Demersal fish non-quota undersize vs nitrogen mass
NQus_exp,82,2,Fishing fleet model,Exponent,Demersal fish non-quota undersize vs nitrogen mass
QLus_coef,83,2,Fishing fleet model,Coefficient,Demersal fish quota-limited undersize vs nitrogen mass
QLus_exp,84,2,Fishing fleet model,Exponent,Demersal fish quota-limited undersize vs nitrogen mass
D_inshore_pelagic,85,2,Fishing fleet model,Discard rate inshore,Planktivorous fish
D_offshore_pelagic,86,2,Fishing fleet model,Discard rate offshore,Planktivorous fish
D_inshore_demersal,87,2,Fishing fleet model,Discard rate inshore,Demersal fish
D_offshore_demersal,88,2,Fishing fleet model,Discard rate offshore,Demersal fish
D_demersal,89,2,Fishing fleet model,Discard rate all areas,Demersal fish all areas
D_inshore_migratory,90,2,Fishing fleet model,Discard rate inshore,Migratory fish
D_offshore_migratory,91,2,Fishing fleet model,Discard rate offshore,Migratory fish
D_inshore_filtben,92,2,Fishing fleet model,Discard rate inshore,Suspension/deposit feeding benthos
