Gear_name,Gear_code,Activity_(s/m2/d),Plough_rate_(m2/s),,
Pelagic_Trawl+Seine,PTS,6.8275850E-06,0,,
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,5.1014210E-06,8.8,,
Longline_mackerel,LLm,5.9650740E-06,0,,
Beam_Trawl_BT1+BT2,BTf,9.0752920E-05,54.1,,
Demersal_Seine,DS,1.3951140E-07,22.4,,
Demersal_Otter_Trawl_TR1,OT,1.8072710E-04,17.1,,
Gill_Nets+Longline_demersal,LLd,8.1780610E-05,0,,
Beam_Trawl_shrimp,BTs,1.4467640E-05,13.5,,
Nephrops_Trawl_TR2,NT,9.6585280E-06,78.9,,
Creels,CR,5.4149760E-06,0,,
Mollusc_Dredge,MD,5.8217600E-06,22.4,,
Whaler,Wh,6.1195734E-07,0,,
